,Unnamed: 0,ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
44,3699,3700,46,22,83,94501,,1/40,Master,0,0,0,0,1,1
45,2772,2773,55,31,130,92646,4.0,6/50,Bach,0,1,0,0,0,1
46,708,709,35,10,21,92182,,1/30,Bach,115,0,0,0,0,0
47,2571,2572,34,8,40,91768,2.0,2/00,PhD,89,0,0,0,0,0
48,2616,2617,56,31,49,92182,2.0,1/60,PhD,103,0,0,0,1,0
49,2759,2760,59,33,64,95617,3.0,0/30,,0,0,0,0,0,0
50,3853,3854,45,21,83,94105,4.0,2/00,PhD,0,0,0,0,1,0
51,4275,4276,63,38,102,95616,4.0,3/40,Master,0,0,0,0,0,0
52,853,854,27,2,155,95138,1.0,0/80,Bach,0,0,0,0,0,0
53,2860,2861,27,2,20,95064,4.0,0/50,PhD,0,0,0,0,1,0
54,4961,4962,39,14,108,91401,3.0,1/20,,0,0,0,0,1,1
55,2857,2858,34,8,184,93106,3.0,7/50,Bach,0,1,0,0,0,0
56,789,790,29,3,31,92126,4.0,0/30,Master,0,0,0,0,1,0
57,1585,1586,57,31,131,90502,2.0,2/70,,0,0,0,0,0,0
58,4724,4725,34,8,21,94107,,1/00,Bach,0,0,0,0,0,0
59,97,98,54,28,161,92121,1.0,2/90,Bach,0,0,0,0,1,0
60,624,625,33,6,54,92821,,1/67,Master,122,0,0,0,1,0
61,3156,3157,54,30,24,92647,1.0,0/10,,0,0,0,0,0,0
62,1407,1408,63,39,101,94306,2.0,3/90,,294,1,0,0,1,0
63,2307,2308,56,31,60,92009,,1/70,Bach,0,0,0,0,1,0
64,1345,1346,57,32,23,92126,2.0,0/20,,0,0,0,0,0,0
65,2782,2783,47,22,53,92691,1.0,0/30,Bach,213,0,0,0,0,0
66,4920,4921,42,16,28,94002,4.0,1/50,PhD,91,0,0,0,1,1
67,1054,1055,63,38,8,95136,4.0,0/60,Master,0,0,0,0,1,0
68,2554,2555,63,39,53,93940,1.0,0/80,Bach,0,0,0,0,0,0
69,3667,3668,27,3,59,94590,4.0,1/60,Bach,0,0,0,0,1,0
70,995,996,28,3,45,94305,2.0,1/60,PhD,0,0,0,0,1,1
71,3400,3401,48,22,39,94065,,1/20,Master,0,0,0,0,0,0
72,2084,2085,36,9,44,93907,4.0,1/00,Master,101,0,1,0,1,0
73,1774,1775,43,18,83,93109,3.0,0/50,,0,0,0,0,0,1
74,4194,4195,63,37,31,95819,1.0,0/50,PhD,0,0,0,0,1,0
75,4482,4483,40,14,28,90404,2.0,0/80,,0,0,0,0,0,0
76,2948,2949,44,18,14,94720,2.0,0/10,PhD,98,0,0,0,0,1
77,998,999,52,27,94,93106,1.0,2/80,Master,333,0,0,0,1,0
78,4944,4945,49,24,33,92093,,1/70,Master,0,0,0,0,1,0
79,1359,1360,64,40,171,90034,2.0,2/10,,433,0,0,0,0,0
80,4324,4325,49,24,13,94538,4.0,0/80,Bach,111,0,0,0,1,0
81,3324,3325,57,31,41,91401,1.0,1/40,Bach,0,0,1,0,1,0
82,1606,1607,35,10,33,90266,4.0,1/70,Bach,87,0,0,0,1,0
83,1550,1551,40,14,39,93117,1.0,2/00,Bach,0,0,0,0,1,0
84,3714,3715,49,23,65,94720,2.0,0/40,PhD,232,0,0,0,0,1
85,747,748,57,32,21,94112,3.0,0/10,Master,0,0,1,1,1,0
86,1405,1406,46,22,183,91605,1.0,3/10,Master,0,1,0,1,1,1
87,2922,2923,52,26,49,90011,,1/40,PhD,0,0,0,0,1,0
88,1288,1289,63,38,129,91326,1.0,0/90,Bach,366,0,0,0,1,0
89,4152,4153,44,18,91,91361,2.0,0/80,PhD,0,0,0,0,1,0
90,721,722,49,24,39,92717,1.0,1/40,,0,0,0,0,1,0
91,4486,4487,44,19,48,92735,3.0,0/80,PhD,0,0,0,0,0,1
92,1395,1396,47,23,190,92831,,0/30,PhD,305,1,0,0,0,0
93,669,670,56,29,41,94109,4.0,2/50,Master,0,0,0,0,0,0
94,2590,2591,46,20,152,95814,,7/40,PhD,374,1,0,1,1,1
95,3906,3907,61,35,60,90245,1.0,2/50,PhD,0,0,0,0,1,0
96,487,488,39,13,88,94117,,1/40,Master,0,0,0,0,1,1
97,2778,2779,56,31,61,92646,4.0,1/30,PhD,0,0,0,0,1,1
98,1223,1224,45,19,11,96150,1.0,0/20,Bach,91,0,0,0,0,0
99,2052,2053,28,3,120,94080,,0/80,Bach,170,0,0,0,0,0
100,1148,1149,41,15,108,90034,1.0,5/20,Bach,0,0,0,0,0,0
101,405,406,36,11,133,90245,1.0,3/80,Bach,290,0,1,1,1,1
102,1906,1907,42,17,98,92866,2.0,0/40,Bach,275,0,0,0,1,0
103,2841,2842,37,11,190,94305,4.0,7/30,Master,565,1,0,1,1,0
104,420,421,47,22,58,93105,4.0,3/60,PhD,0,0,0,0,1,1
105,1101,1102,42,17,95,90095,,0/50,,0,0,0,0,0,0
106,1603,1604,36,6,138,92152,1.0,7/00,PhD,86,1,0,0,1,0
107,2398,2399,53,29,90,95053,2.0,0/30,Bach,217,0,1,0,0,1
108,4206,4207,48,23,29,93711,1.0,1/30,Master,0,0,0,0,0,0
109,3211,3212,35,9,83,90277,2.0,4/50,PhD,0,0,0,0,1,0
110,3504,3505,46,20,15,95370,4.0,0/60,,0,0,1,0,1,0
111,3401,3402,39,15,28,95818,1.0,1/40,PhD,118,0,0,0,1,1
112,2286,2287,62,36,42,94122,1.0,0/50,,128,0,0,0,1,0
113,2662,2663,65,41,158,92346,2.0,2/10,Bach,0,0,0,0,0,0
114,2748,2749,32,7,82,94305,1.0,2/60,Master,240,0,0,1,1,1
115,2695,2696,40,15,8,94960,,0/10,Master,0,0,0,0,0,0
116,4512,4513,46,22,25,95747,,0/60,,0,0,0,0,1,1
117,3624,3625,58,28,70,92028,1.0,1/40,PhD,0,0,0,0,0,0
118,4250,4251,52,28,54,90041,4.0,0/10,PhD,0,0,0,0,0,1
119,2212,2213,46,22,83,95060,1.0,2/70,Bach,0,0,0,0,1,0
120,4542,4543,53,29,20,94131,,0/20,Bach,0,0,1,1,1,1
121,3648,3649,43,13,38,95616,3.0,2/00,PhD,0,0,0,0,1,0
122,1643,1644,41,16,13,91125,2.0,0/00,PhD,0,0,0,0,1,0
123,1709,1710,58,34,88,93555,,1/60,Bach,0,0,0,0,1,1
124,4967,4968,41,16,69,92697,1.0,0/10,Master,0,0,0,0,1,0
125,4126,4127,58,33,23,90095,,1/30,Master,131,0,0,0,0,0
126,4327,4328,30,4,102,91775,4.0,2/10,,139,0,0,0,0,1
127,41,42,34,9,60,94122,3.0,2/30,Bach,0,0,0,0,0,0
128,3922,3923,31,4,20,95616,4.0,1/50,Master,0,0,0,0,1,0
129,2647,2648,61,37,155,91605,1.0,2/90,Bach,0,0,0,0,1,0
130,3130,3131,23,-2,82,92152,2.0,1/80,Master,0,0,1,0,0,1
131,272,273,29,3,45,95023,4.0,0/20,,158,0,0,0,1,1
132,2924,2925,51,26,98,90024,1.0,1/30,PhD,0,0,0,0,1,1
133,1004,1005,53,23,65,95054,4.0,2/00,PhD,0,0,0,0,1,0
134,2828,2829,35,10,64,94306,3.0,0/70,Master,230,0,0,0,1,0
135,4974,4975,59,33,64,92867,4.0,1/70,Master,0,0,0,0,0,1
136,990,991,34,10,81,94002,4.0,3/40,Bach,0,0,0,0,1,0
137,1624,1625,28,2,31,90024,2.0,0/30,Master,0,0,1,0,1,0
138,3532,3533,38,12,141,94022,,0/00,Bach,0,0,0,0,1,1
139,670,671,23,-1,61,92374,4.0,2/60,Bach,239,0,0,0,1,0
140,3055,3056,28,2,111,94305,4.0,2/30,PhD,0,0,0,0,1,0
141,3639,3640,51,26,191,94063,1.0,8/10,Bach,0,0,1,0,1,0
142,4367,4368,40,15,149,90250,,3/90,,319,0,0,0,1,1
143,1173,1174,24,-1,35,94305,2.0,1/70,Master,0,0,0,0,0,0
144,2086,2087,36,12,84,90291,1.0,0/80,Master,0,0,0,0,1,1
145,4257,4258,43,17,48,95762,3.0,2/20,Master,0,0,0,0,0,1
146,2482,2483,28,4,129,92115,1.0,1/50,Bach,0,0,0,0,0,1
147,49,50,40,16,49,92373,1.0,1/80,Bach,0,0,0,0,0,1
148,4615,4616,37,12,84,93943,4.0,0/70,PhD,0,0,0,0,1,0
149,1731,1732,43,19,125,92122,3.0,2/40,Bach,0,1,0,0,1,0
150,1633,1634,62,38,53,92121,,0/00,Master,0,0,0,0,0,0
151,3917,3918,41,15,89,94608,3.0,0/10,Bach,292,0,0,0,1,0
152,4942,4943,52,26,109,94710,,2/40,,308,0,0,1,1,1
153,4616,4617,66,41,114,92521,1.0,0/80,,0,0,0,0,1,1
154,2490,2491,52,28,168,90404,,6/50,PhD,118,1,0,0,1,0
155,1883,1884,56,30,185,91711,,2/90,,0,0,0,0,0,0
156,2298,2299,48,24,9,92630,4.0,0/50,Master,0,0,0,0,0,1
157,3674,3675,42,16,38,93437,1.0,0/20,Bach,0,0,1,0,0,0
158,2479,2480,55,30,82,94720,4.0,3/80,,0,0,0,0,1,0
159,3490,3491,33,9,38,95814,1.0,1/33,,115,0,0,0,0,0
160,222,223,26,2,104,94306,3.0,2/50,Bach,0,0,0,0,0,0
161,2796,2797,57,32,30,94024,2.0,2/00,,0,0,0,0,0,0
162,3244,3245,48,24,24,92624,4.0,0/20,,0,0,0,0,1,0
163,3541,3542,45,20,144,92106,4.0,5/40,Bach,210,1,0,0,1,0
164,2077,2078,34,9,160,94108,4.0,8/00,PhD,0,1,0,0,0,1
165,17,18,42,18,81,94305,4.0,2/40,Bach,0,0,0,0,0,0
166,125,126,60,35,80,91301,,0/50,Bach,0,0,0,0,1,0
167,1597,1598,66,41,11,92325,,0/10,PhD,0,0,1,0,0,1
168,695,696,29,4,115,92717,1.0,1/90,Bach,0,0,0,0,0,0
169,1434,1435,65,41,55,93106,2.0,1/10,,0,0,0,0,0,0
170,2126,2127,44,19,83,92121,4.0,0/40,,141,0,0,0,0,0
171,4003,4004,47,21,39,92612,3.0,0/60,Master,0,0,0,0,1,1
172,3560,3561,31,5,65,94591,,2/20,Master,126,0,0,0,1,0
173,1600,1601,60,36,129,92028,2.0,6/00,Bach,0,0,0,0,1,0
174,4582,4583,25,-1,69,92691,3.0,0/30,PhD,0,0,0,0,1,0
175,107,108,42,18,43,92037,1.0,0/70,Bach,136,0,0,0,0,0
176,4344,4345,53,28,181,95051,,8/10,Bach,0,0,0,0,1,0
177,2451,2452,51,25,119,93940,1.0,4/90,,208,0,0,0,1,1
178,846,847,51,27,93,92154,1.0,2/70,Bach,0,0,0,0,1,0
179,3622,3623,54,29,60,94901,4.0,3/80,Master,0,0,0,0,1,1
180,3673,3674,34,9,65,95134,,1/30,Bach,0,0,0,0,0,1
181,274,275,30,5,74,95616,,2/20,Bach,0,0,1,0,0,1
182,4952,4953,29,3,53,94005,,1/80,PhD,0,0,0,0,1,0
183,4309,4310,34,8,188,94025,,2/90,PhD,0,1,0,0,1,0
184,1823,1824,33,8,125,91320,1.0,0/00,Bach,0,0,0,0,1,1
185,4576,4577,55,30,41,93003,2.0,0/60,PhD,0,0,0,0,1,1
186,1824,1825,49,23,194,94022,4.0,8/30,Master,0,1,0,0,0,1
187,2310,2311,32,6,32,92806,2.0,0/30,Bach,0,0,0,0,0,0
188,3510,3511,38,11,69,92124,,2/33,Master,0,0,0,0,0,0
189,2100,2101,31,6,145,93940,1.0,0/80,Bach,84,0,0,0,1,0
190,3500,3501,51,26,90,94110,1.0,2/80,,0,0,0,0,1,1
191,1118,1119,42,17,98,95670,2.0,0/40,Bach,0,0,0,0,1,1
192,333,334,63,38,140,92407,,2/50,Bach,0,0,0,0,0,0
193,4506,4507,39,13,89,92037,1.0,2/80,PhD,153,0,0,0,1,1
194,4825,4826,56,32,84,95014,2.0,1/60,,0,0,0,0,1,0
195,960,961,46,22,144,93611,2.0,3/30,,0,0,0,0,1,1
196,4199,4200,43,19,81,90630,4.0,0/20,,0,0,0,0,0,1
197,3883,3884,40,16,98,94534,2.0,1/80,Master,98,0,0,0,1,0
198,3802,3803,31,7,10,95616,4.0,0/70,Master,0,0,0,0,1,0
199,2021,2022,46,20,103,91380,,4/80,,0,1,0,0,1,0
200,1587,1588,52,28,21,94035,2.0,0/40,Bach,0,0,1,0,1,0
201,305,306,60,35,22,91207,1.0,1/30,Bach,123,0,0,0,1,0
202,1591,1592,39,13,72,95817,2.0,2/80,,0,0,0,0,1,0
203,4845,4846,45,21,128,94305,1.0,4/70,Bach,0,0,0,0,0,0
204,3123,3124,44,17,22,94546,3.0,1/00,Master,126,0,0,0,1,1
205,631,632,45,18,40,94960,3.0,1/00,Master,0,0,0,0,1,0
206,4927,4928,43,19,121,94720,,0/70,,0,1,0,1,1,1
207,3983,3984,39,13,93,93555,4.0,3/60,PhD,0,1,0,0,1,0
208,4207,4208,37,11,51,93305,,2/10,Bach,0,0,0,0,1,1
209,2767,2768,48,24,59,90401,,0/00,Bach,144,0,0,0,1,0
210,1347,1348,60,34,85,91367,2.0,2/00,Bach,0,0,0,0,1,0
211,1732,1733,25,0,88,94566,2.0,1/80,Master,319,0,0,0,1,1
212,1284,1285,65,40,128,90740,,2/50,Bach,162,0,0,0,1,0
213,4015,4016,25,-1,139,93106,,2/00,Bach,0,0,0,0,0,1
214,4139,4140,29,3,81,95827,1.0,2/90,PhD,0,0,0,0,0,0
215,1319,1320,32,6,35,94005,2.0,0/30,,0,0,0,0,0,1
216,4118,4119,40,16,34,93561,,0/70,Bach,0,0,0,0,1,1
217,2871,2872,65,39,82,94131,4.0,2/40,,252,0,0,0,1,0
218,595,596,42,18,41,92121,1.0,1/80,Bach,94,0,0,0,1,0
219,511,512,31,5,82,94143,4.0,2/20,,0,0,0,0,0,0
220,4453,4454,37,11,11,94112,3.0,0/10,Master,0,0,0,0,0,0
221,3208,3209,53,29,61,95032,4.0,1/60,Master,0,0,0,0,1,0
222,3135,3136,25,0,91,95039,2.0,1/80,Master,321,0,0,0,0,0
223,807,808,52,27,162,92096,,8/10,Bach,0,0,0,0,1,0
224,3812,3813,39,13,52,94720,1.0,2/00,,0,0,0,0,0,1
225,3752,3753,55,30,82,93003,4.0,1/30,PhD,219,0,0,0,0,1
226,3320,3321,50,25,114,92104,1.0,0/60,Bach,0,0,0,0,0,1
227,3384,3385,36,11,162,94583,,8/60,Bach,153,0,1,0,1,0
228,4193,4194,62,37,31,95008,,0/20,Bach,0,0,0,0,1,0
229,4481,4482,25,-2,35,95045,4.0,1/00,PhD,0,0,0,0,1,0
230,2011,2012,46,21,39,92507,,0/00,Master,0,0,0,0,1,0
231,3073,3074,29,5,149,94611,,1/50,Bach,0,0,0,0,1,0
232,1582,1583,43,19,170,92037,4.0,4/25,Bach,318,1,0,1,1,1
233,440,441,64,39,59,92626,2.0,1/50,,139,0,0,0,1,0
234,4369,4370,50,25,19,94005,,0/40,Master,103,0,0,0,1,1
235,1525,1526,43,18,58,95747,1.0,2/40,Bach,0,0,0,0,0,0
236,3119,3120,61,36,54,91320,3.0,0/90,,179,0,0,0,1,0
237,4220,4221,54,30,39,94806,4.0,0/10,PhD,0,0,1,0,1,0
238,657,658,38,8,23,95207,1.0,0/67,PhD,0,0,0,0,0,0
239,1159,1160,50,26,23,92028,,0/20,Bach,0,0,0,0,0,1
240,326,327,52,27,80,95616,1.0,1/30,,0,0,0,1,1,1
241,2054,2055,39,15,89,92126,,1/90,Bach,0,0,0,0,0,0
242,4519,4520,45,21,32,92399,4.0,0/60,Bach,77,0,0,0,0,1
243,1167,1168,37,12,190,92354,2.0,3/00,Bach,475,0,0,0,1,0
244,3835,3836,33,9,131,90065,3.0,2/20,,0,1,1,0,0,0
245,2969,2970,43,18,60,95039,2.0,2/20,PhD,115,0,0,0,0,0
246,1718,1719,40,16,19,92028,4.0,0/40,Master,0,0,0,0,1,1
247,2910,2911,46,22,102,95039,3.0,4/50,PhD,0,1,0,0,1,0
248,4539,4540,48,24,14,94305,,1/00,,0,0,0,0,1,0
249,4749,4750,31,5,21,94115,3.0,1/00,Bach,0,0,0,0,1,0
250,350,351,39,14,113,94301,1.0,1/00,PhD,0,0,1,0,1,0
251,1056,1057,36,6,25,95020,,0/67,PhD,0,0,0,0,1,0
252,39,40,38,13,80,94115,,0/70,,285,0,0,0,1,0
253,2844,2845,60,34,64,95014,3.0,2/20,PhD,0,0,0,0,0,0
254,4099,4100,61,35,60,92831,,2/80,Master,0,0,0,0,1,1
255,2911,2912,30,4,54,93033,4.0,1/80,PhD,235,0,0,0,1,0
256,1601,1602,31,7,180,93407,,4/30,Bach,0,0,0,0,0,0
257,2815,2816,26,1,48,94019,3.0,2/60,PhD,169,0,0,0,0,0
258,4639,4640,51,25,33,92866,3.0,0/90,PhD,0,0,0,0,1,1
259,3506,3507,27,1,58,95827,4.0,1/80,Master,154,0,0,1,1,1
260,4124,4125,53,29,141,90064,2.0,0/20,PhD,0,1,0,0,0,0
261,1306,1307,34,9,31,94115,4.0,1/10,,0,0,0,0,1,1
262,128,129,38,14,74,92182,2.0,0/00,Bach,0,0,1,0,1,0
263,3163,3164,51,27,52,94132,2.0,1/00,,0,0,0,0,0,0
264,880,881,57,31,58,91604,1.0,0/20,Bach,177,0,0,0,1,0
265,2673,2674,54,30,88,92647,4.0,1/00,Master,122,0,0,0,1,0
266,1679,1680,57,31,114,94590,4.0,5/20,Bach,0,1,1,1,1,0
267,2377,2378,47,23,160,92037,2.0,6/67,Bach,0,0,0,0,0,0
268,1392,1393,47,23,33,90095,,1/00,Bach,0,0,0,0,1,1
269,150,151,46,22,118,94107,2.0,7/50,,0,0,0,1,1,1
270,1505,1506,51,25,18,92109,,0/30,,93,0,0,0,0,1
271,1646,1647,52,26,93,91745,1.0,2/40,Bach,0,0,0,0,1,0
272,3748,3749,33,7,100,94025,1.0,2/70,Master,126,0,0,0,1,0
273,433,434,52,28,31,91330,4.0,0/20,Bach,141,0,0,0,1,1
274,1564,1565,64,40,63,94706,4.0,1/20,Master,0,0,0,0,1,0
275,1462,1463,47,21,15,95207,4.0,0/60,PhD,77,0,0,0,1,0
276,1346,1347,44,20,50,95670,3.0,2/33,,200,0,0,0,0,0
277,1497,1498,45,21,73,95020,,0/80,,0,0,0,0,1,0
278,709,710,29,4,72,95841,4.0,2/20,Bach,0,0,0,0,1,0
279,3118,3119,64,39,114,90095,1.0,0/80,PhD,0,0,0,0,1,0
280,161,162,61,35,80,95053,,2/80,,0,0,0,0,1,0
281,1072,1073,54,24,75,90089,2.0,4/50,PhD,0,0,0,0,0,0
282,1552,1553,29,5,195,94301,1.0,4/30,Bach,0,0,0,0,0,0
283,977,978,54,30,45,95134,4.0,1/10,Master,205,0,0,0,1,0
284,1857,1858,37,13,105,94066,1.0,0/80,Master,0,0,0,0,0,1
285,1081,1082,53,28,20,94080,3.0,0/10,Master,0,0,0,0,0,0
286,2108,2109,56,32,85,94132,3.0,2/67,Bach,0,0,1,0,1,0
287,4717,4718,29,5,121,95449,,1/50,Bach,0,0,0,0,1,0
288,4867,4868,38,12,61,94598,,0/20,PhD,0,0,0,0,1,0
289,1492,1493,33,8,133,90024,,0/00,Bach,0,0,0,0,1,0
290,4040,4041,57,32,44,90266,,1/90,,157,0,0,0,0,0
291,4813,4814,49,23,60,95023,3.0,0/70,Master,142,0,0,0,1,1
292,4361,4362,55,30,42,93940,2.0,2/00,Master,196,0,0,0,0,1
293,3274,3275,31,5,110,92123,,1/50,PhD,0,0,0,0,1,0
294,1382,1383,34,8,82,91775,,1/80,Bach,178,0,0,0,1,1
295,4260,4261,57,31,52,94105,,1/40,Bach,0,0,0,0,1,0
296,755,756,56,30,45,91103,4.0,0/70,Master,0,0,0,0,0,1
297,1535,1536,61,37,39,92096,4.0,0/40,Bach,0,0,0,0,1,1
298,3858,3859,42,18,158,92124,2.0,0/40,Master,277,1,0,0,0,1
299,1987,1988,56,31,52,94118,3.0,2/00,Master,0,0,1,1,1,1
300,2237,2238,30,5,134,92647,1.0,0/00,Bach,0,0,0,0,1,1
301,1176,1177,29,3,103,90049,,3/40,Bach,0,1,0,0,1,0
302,962,963,47,21,120,95833,,0/00,,135,0,0,0,0,0
303,884,885,38,13,55,91709,,1/10,Master,0,0,0,0,1,0
304,4090,4091,42,18,49,92717,3.0,2/10,PhD,0,0,1,0,1,0
305,3047,3048,57,33,149,95060,1.0,4/70,Bach,0,0,1,0,0,0
306,59,60,31,5,188,91320,2.0,4/50,Bach,455,0,0,0,0,0
307,697,698,42,17,85,92648,1.0,3/70,PhD,0,0,0,0,1,0
308,3406,3407,42,12,34,92177,3.0,2/00,PhD,0,0,0,0,0,1
309,1249,1250,51,27,80,90032,1.0,2/60,Master,0,0,0,0,1,1
310,3431,3432,64,38,63,94305,2.0,1/70,PhD,184,0,1,0,1,0
311,1523,1524,41,16,104,92037,1.0,1/00,PhD,0,0,0,0,1,0
312,4465,4466,39,15,54,94108,4.0,2/20,,0,0,0,0,0,1
313,1719,1720,36,12,188,91304,,6/50,Bach,0,0,0,0,1,1
314,3972,3973,29,5,112,94998,2.0,4/33,Bach,0,0,0,0,1,1
315,3599,3600,45,19,23,93101,2.0,0/10,PhD,91,0,0,1,1,1
316,208,209,40,16,73,94110,4.0,2/67,Bach,0,0,0,0,1,1
317,4078,4079,36,12,58,91320,1.0,3/60,Master,0,0,0,0,0,0
318,1759,1760,31,6,44,94720,4.0,0/80,Bach,0,0,0,0,0,0
319,1738,1739,61,36,38,91129,3.0,0/90,PhD,82,0,0,0,1,1
320,336,337,36,12,65,95051,3.0,2/60,Master,0,0,0,0,1,0
321,1505,1506,51,25,18,92109,,0/30,,93,0,0,0,0,1
322,211,212,44,18,55,94720,1.0,0/20,Bach,0,0,0,0,0,0
323,2777,2778,59,33,91,94122,,0/70,Master,0,0,0,0,1,1
324,4854,4855,44,20,105,91730,1.0,4/70,Bach,0,0,0,0,0,1
325,1560,1561,35,10,31,95605,3.0,1/30,Bach,0,0,0,0,0,0
326,3253,3254,55,30,35,94025,1.0,1/50,Master,118,0,0,0,0,1
327,1026,1027,28,4,43,95616,3.0,0/10,Master,0,0,0,0,1,0
328,1771,1772,46,21,9,95023,,0/70,PhD,0,0,0,0,1,0
329,2430,2431,23,-1,73,92120,4.0,2/60,Bach,0,0,0,0,1,0
330,1534,1535,59,34,30,92084,1.0,1/30,Bach,0,0,0,0,1,1
331,4991,4992,51,25,92,91330,,1/90,,100,0,0,0,0,1
332,2148,2149,54,30,58,92007,2.0,3/20,,0,0,0,0,0,0
333,779,780,53,28,192,94304,,6/40,,0,1,0,0,0,0
334,3340,3341,29,3,54,94104,4.0,1/80,PhD,0,0,0,0,0,0
335,4734,4735,63,39,64,95814,1.0,1/80,PhD,147,0,0,0,1,1
336,630,631,32,7,35,96651,3.0,1/30,Bach,108,0,0,0,0,1
337,1147,1148,37,13,111,91367,1.0,0/80,,0,0,0,0,0,0
338,2890,2891,48,24,18,94304,4.0,0/20,Bach,0,0,0,0,1,1
339,2597,2598,47,23,163,92653,1.0,5/00,Bach,0,0,0,0,0,0
340,3761,3762,49,24,25,95831,,0/70,PhD,0,0,0,0,1,0
341,3575,3576,63,38,15,94305,,0/60,Master,83,0,0,0,0,0
342,2374,2375,32,5,41,92008,2.0,1/00,Master,112,0,1,0,1,0
343,4761,4762,61,35,74,91320,,0/70,,0,0,0,0,1,1
344,808,809,64,39,64,92068,,2/20,Bach,0,0,0,0,1,0
345,4230,4231,62,36,115,92093,2.0,2/80,Bach,202,0,0,0,1,1
346,2228,2229,48,23,43,90254,4.0,1/90,PhD,0,0,0,0,1,0
347,4559,4560,47,20,101,91950,,2/00,Master,270,0,0,0,1,0
348,4976,4977,29,5,31,95039,1.0,1/80,Master,0,0,0,0,1,1
349,3808,3809,34,10,152,90089,2.0,6/50,Bach,0,0,0,0,0,0
350,4689,4690,51,27,43,95053,4.0,1/10,,164,0,0,0,1,1
351,4086,4087,50,26,11,93106,4.0,0/20,Bach,0,0,1,0,0,0
352,2926,2927,53,28,44,92152,2.0,0/60,PhD,0,0,0,0,1,1
353,1124,1125,38,12,29,94022,4.0,0/20,Bach,0,0,0,0,0,1
